sample_name	sample_set	sample_type	lib_name	var1__name	var1__value	var2__name	var2__value
T4_D01	T4	time0	T4_v1	phage	T4	MOI	0
T4_D02	T4	time0	T4_v1	phage	T4	MOI	0
T4_D03	T4	time0	T4_v1	phage	T4	MOI	0
T4_D04	T4	base	T4_v1	phage	T4	MOI	0
T4_D05	T4	base	T4_v1	phage	T4	MOI	0
T4_D06	T4	base	T4_v1	phage	T4	MOI	0
T4_D07	T4	sample	T4_v1	phage	T4	MOI	10
T4_D08	T4	sample	T4_v1	phage	T4	MOI	10
T4_D09	T4	sample	T4_v1	phage	T4	MOI	10
T5_E01	T5	time0	T5_v1	phage	T5	MOI	0
T5_E02	T5	time0	T5_v1	phage	T5	MOI	0
T5_E03	T5	time0	T5_v1	phage	T5	MOI	0
T5_E04	T5	base	T5_v1	phage	T5	MOI	0
T5_E05	T5	base	T5_v1	phage	T5	MOI	0
T5_E06	T5	base	T5_v1	phage	T5	MOI	0
T5_E07	T5	sample	T5_v1	phage	T5	MOI	10
T5_E08	T5	sample	T5_v1	phage	T5	MOI	10
T5_E09	T5	sample	T5_v1	phage	T5	MOI	10
SUSP1_F01	SUSP1	time0	SUSP1_v1	phage	SUSP1	MOI	0
SUSP1_F02	SUSP1	time0	SUSP1_v1	phage	SUSP1	MOI	0
SUSP1_F03	SUSP1	time0	SUSP1_v1	phage	SUSP1	MOI	0
SUSP1_F04	SUSP1	base	SUSP1_v1	phage	SUSP1	MOI	0
SUSP1_F05	SUSP1	base	SUSP1_v1	phage	SUSP1	MOI	0
SUSP1_F06	SUSP1	base	SUSP1_v1	phage	SUSP1	MOI	0
SUSP1_F07	SUSP1	sample	SUSP1_v1	phage	SUSP1	MOI	10
SUSP1_F08	SUSP1	sample	SUSP1_v1	phage	SUSP1	MOI	10
SUSP1_F09	SUSP1	sample	SUSP1_v1	phage	SUSP1	MOI	10
PTXU04_G01	PTXU04	time0	PTXU04_v1	phage	PTXU04	MOI	0
PTXU04_G02	PTXU04	time0	PTXU04_v1	phage	PTXU04	MOI	0
PTXU04_G03	PTXU04	time0	PTXU04_v1	phage	PTXU04	MOI	0
PTXU04_G04	PTXU04	base	PTXU04_v1	phage	PTXU04	MOI	0
PTXU04_G05	PTXU04	base	PTXU04_v1	phage	PTXU04	MOI	0
PTXU04_G06	PTXU04	base	PTXU04_v1	phage	PTXU04	MOI	0
PTXU04_G07	PTXU04	sample	PTXU04_v1	phage	PTXU04	MOI	10
PTXU04_G08	PTXU04	sample	PTXU04_v1	phage	PTXU04	MOI	10
PTXU04_G09	PTXU04	sample	PTXU04_v1	phage	PTXU04	MOI	10
